-111.59;-184.33;-164.45;-0.28;-1.18;-0.48;0.06;10.43;-18.41;0.29;0.00;-0.98;
-19.63;-42.44;-41.71;-0.44;-0.77;-0.45;1.10;-1.46;-0.79;0.30;-0.02;-0.94;
31.71;39.39;17.62;-0.46;-0.75;-0.48;2.68;2.26;-0.06;0.30;-0.01;-0.95;
69.57;113.60;71.10;-0.45;-0.86;-0.43;1.95;-5.67;-2.26;0.30;-0.01;-0.95;
135.18;208.41;180.49;-0.43;-0.57;-0.76;0.12;-11.34;-0.43;0.31;-0.01;-0.95;
-25.06;-30.73;-14.70;-0.61;-0.30;-0.93;0.24;3.54;0.12;0.30;-0.01;-0.93;
-96.77;-181.16;-119.02;-0.43;-1.10;-0.16;1.34;11.71;1.65;0.32;-0.00;-0.93;
44.63;66.71;43.29;-0.57;-0.68;-0.47;-3.17;-12.38;4.57;0.25;0.02;-0.94;
188.35;282.87;249.09;-0.41;-0.14;-0.87;0.43;-5.18;2.68;0.27;-0.01;-0.96;
-173.29;-270.12;-239.94;-0.46;0.08;-1.34;-1.34;7.07;6.28;0.30;-0.01;-0.95;
-196.40;-315.12;-224.88;-0.40;-0.57;-0.81;-2.13;-12.99;-2.38;0.27;-0.07;-0.95;
125.55;201.10;131.52;-0.40;-1.11;-0.08;0.18;-13.23;-2.44;0.30;-0.01;-0.96;
-89.15;-130.79;-75.55;-0.69;0.27;-1.50;0.00;3.41;2.62;0.29;-0.01;-0.94;
-96.22;-183.60;-121.83;-0.44;-0.86;-0.27;0.43;13.90;2.44;0.29;-0.02;-0.95;
131.77;238.72;173.84;-0.36;-1.12;-0.16;0.73;-10.73;-2.26;0.30;-0.01;-0.95;
-93.48;-167.44;-99.70;-0.70;0.39;-1.71;0.49;5.18;1.83;0.29;-0.01;-0.94;
-82.38;-148.84;-95.98;-0.47;-0.84;-0.24;0.30;9.21;0.79;0.30;-0.01;-0.94;
203.60;353.72;268.23;-0.15;-1.25;-0.04;-11.83;-33.05;-7.50;0.24;-0.02;-0.99;
30.61;53.72;14.51;-0.58;-0.25;-1.17;0.24;0.18;1.89;0.27;-0.01;-0.96;
-193.41;-303.29;-243.90;-0.23;-1.42;-0.01;0.24;11.77;1.28;0.26;0.01;-0.94;
42.07;47.38;32.01;-0.51;-0.77;-0.36;0.73;6.46;-1.22;0.28;-0.01;-0.95;
100.12;146.59;118.35;-0.53;-0.75;-0.41;2.07;0.24;-6.22;0.28;-0.03;-0.95;
37.87;48.17;17.01;-0.46;-0.63;-0.63;17.32;7.80;0.24;0.25;-0.01;-0.95;
-40.79;167.44;502.68;-0.04;-1.09;-0.84;28.72;43.05;1.52;0.15;0.08;-1.01;
-11.95;188.48;65.91;-0.32;-0.72;-1.15;0.37;3.17;0.91;0.14;0.09;-0.97;
11.28;-10.85;-35.43;-0.11;-0.07;-0.60;44.09;28.78;1.28;0.11;0.14;-0.99;
-0.79;-3.66;-3.11;-0.11;-0.09;-0.99;1.10;0.67;0.61;0.10;0.08;-0.99;
6.95;-1.40;-1.89;-0.11;-0.08;-0.98;-9.57;9.94;30.49;0.02;0.12;-1.19;
0.73;0.24;-0.06;-0.10;-0.08;-0.98;-94.09;-148.60;-10.30;-0.73;-0.99;-2.00;
1.52;-0.85;0.43;-0.11;-0.08;-0.99;63.54;60.12;-23.29;0.09;-0.74;-0.97;
-1.71;0.67;2.62;-0.11;-0.07;-1.00;-0.18;-6.28;40.43;0.05;-0.78;-0.97;
-0.18;-0.37;-0.43;-0.11;-0.08;-0.98;-17.93;57.50;185.00;-0.17;-0.72;-0.55;
-0.06;-0.73;-0.12;-0.10;-0.08;-0.98;6.46;55.79;37.20;-0.26;-0.53;-0.44;
-0.61;-0.24;0.00;-0.11;-0.08;-0.98;210.24;316.89;101.28;0.05;-0.55;-1.69;
0.73;-0.67;-0.24;-0.11;-0.07;-0.98;-31.10;66.16;129.82;0.03;-1.04;-0.53;
